time,open,high,low,close,volume
2026-02-25 15:55:00+00:00,620.92,621.92,619.62,621.38,1111.118
2026-02-25 16:00:00+00:00,621.39,622.78,621.07,621.53,4861.877
2026-02-25 16:05:00+00:00,621.54,622.82,620.93,621.36,1622.827
2026-02-25 16:10:00+00:00,621.36,623.45,621.35,622.64,962.326
2026-02-25 16:15:00+00:00,622.64,624.68,621.96,624.26,1462.684
2026-02-25 16:20:00+00:00,624.25,625.32,623.85,624.95,1709.954
2026-02-25 16:25:00+00:00,624.96,625.6,623.55,623.69,1048.949
2026-02-25 16:30:00+00:00,623.69,624.0,622.54,622.66,582.566
2026-02-25 16:35:00+00:00,622.66,623.82,622.25,622.31,435.555
2026-02-25 16:40:00+00:00,622.3,623.17,622.0,622.89,612.834
2026-02-25 16:45:00+00:00,622.89,624.3,622.89,624.06,536.041
2026-02-25 16:50:00+00:00,624.05,624.43,623.66,624.15,514.832
2026-02-25 16:55:00+00:00,624.15,625.89,624.01,625.52,1026.319
2026-02-25 17:00:00+00:00,625.53,627.96,625.05,625.93,1719.144
2026-02-25 17:05:00+00:00,625.93,626.5,625.07,626.44,801.438
2026-02-25 17:10:00+00:00,626.44,629.0,626.36,628.08,1170.029
2026-02-25 17:15:00+00:00,628.09,628.36,626.11,626.12,2627.85
2026-02-25 17:20:00+00:00,626.12,628.23,626.02,627.82,465.157
2026-02-25 17:25:00+00:00,627.81,628.23,626.92,627.15,378.044
2026-02-25 17:30:00+00:00,627.15,628.05,626.24,627.08,477.904
2026-02-25 17:35:00+00:00,627.09,628.46,627.0,627.56,739.519
2026-02-25 17:40:00+00:00,627.56,628.3,627.38,628.12,588.293
2026-02-25 17:45:00+00:00,628.13,629.0,628.0,628.48,928.03
2026-02-25 17:50:00+00:00,628.49,629.42,628.29,628.49,884.728
2026-02-25 17:55:00+00:00,628.49,629.2,627.73,629.04,580.961
2026-02-25 18:00:00+00:00,629.05,629.49,626.56,626.84,744.041
2026-02-25 18:05:00+00:00,626.84,628.46,626.6,628.38,846.142
2026-02-25 18:10:00+00:00,628.39,629.65,628.25,629.15,1075.622
2026-02-25 18:15:00+00:00,629.14,633.63,629.11,631.64,5419.469
2026-02-25 18:20:00+00:00,631.65,633.08,631.65,632.24,1150.808
2026-02-25 18:25:00+00:00,632.23,634.32,631.71,633.66,871.47
2026-02-25 18:30:00+00:00,633.67,633.75,631.46,632.02,430.65
