time,open,high,low,close
2026-05-28 06:50:00+00:00,1982.41,1982.41,1980.28,1981.9
2026-05-28 06:55:00+00:00,1981.9,1984.83,1981.9,1984.07
2026-05-28 07:00:00+00:00,1984.07,1985.23,1983.16,1984.19
2026-05-28 07:05:00+00:00,1984.2,1986.9,1982.41,1986.79
2026-05-28 07:10:00+00:00,1986.79,1987.23,1985.02,1987.11
2026-05-28 07:15:00+00:00,1987.11,1989.75,1986.97,1988.74
2026-05-28 07:20:00+00:00,1988.73,1991.61,1988.73,1990.98
2026-05-28 07:25:00+00:00,1990.97,1991.6,1988.73,1989.23
2026-05-28 07:30:00+00:00,1989.23,1993.06,1989.23,1993.0
2026-05-28 07:35:00+00:00,1993.0,1996.78,1992.99,1993.79
2026-05-28 07:40:00+00:00,1993.79,1995.99,1993.41,1995.6
2026-05-28 07:45:00+00:00,1995.61,1995.61,1994.03,1994.72
2026-05-28 07:50:00+00:00,1994.72,1994.76,1992.51,1994.1
2026-05-28 07:55:00+00:00,1994.11,1995.87,1994.03,1995.56
2026-05-28 08:00:00+00:00,1995.56,1996.23,1990.58,1991.35
2026-05-28 08:05:00+00:00,1991.35,1993.73,1990.96,1991.8
2026-05-28 08:10:00+00:00,1991.81,1993.03,1990.38,1993.02
2026-05-28 08:15:00+00:00,1993.02,1993.02,1990.65,1991.63
2026-05-28 08:20:00+00:00,1991.63,1991.63,1987.45,1988.69
2026-05-28 08:25:00+00:00,1988.69,1988.69,1985.48,1986.91
2026-05-28 08:30:00+00:00,1986.91,1988.9,1985.0,1988.55
2026-05-28 08:35:00+00:00,1988.55,1991.06,1988.2,1990.37
2026-05-28 08:40:00+00:00,1990.37,1990.38,1988.63,1989.25
2026-05-28 08:45:00+00:00,1989.25,1991.68,1989.25,1990.18
2026-05-28 08:50:00+00:00,1990.18,1990.41,1989.76,1989.89
2026-05-28 08:55:00+00:00,1989.89,1989.9,1987.26,1988.26
2026-05-28 09:00:00+00:00,1988.27,1991.19,1988.03,1990.01
2026-05-28 09:05:00+00:00,1990.01,1991.08,1987.03,1987.03
2026-05-28 09:10:00+00:00,1987.04,1987.98,1984.85,1987.97
2026-05-28 09:15:00+00:00,1987.96,1990.29,1987.79,1990.29
2026-05-28 09:20:00+00:00,1990.29,1991.36,1989.47,1990.95
2026-05-28 09:25:00+00:00,1990.96,1991.36,1990.54,1991.18
2026-05-28 09:30:00+00:00,1991.17,1991.8,1989.74,1991.8
2026-05-28 09:35:00+00:00,1991.8,1993.64,1990.73,1990.74
2026-05-28 09:40:00+00:00,1990.73,1993.77,1990.73,1993.61
2026-05-28 09:45:00+00:00,1993.61,1995.51,1993.23,1995.19
2026-05-28 09:50:00+00:00,1995.2,1995.48,1993.58,1994.19
2026-05-28 09:55:00+00:00,1994.19,1995.17,1993.65,1994.04
2026-05-28 10:00:00+00:00,1994.04,1995.7,1993.9,1994.98
2026-05-28 10:05:00+00:00,1994.97,1996.17,1994.29,1994.92
2026-05-28 10:10:00+00:00,1994.92,1998.4,1994.88,1995.74
2026-05-28 10:15:00+00:00,1995.74,1996.37,1991.62,1991.9
2026-05-28 10:20:00+00:00,1991.91,1992.73,1990.11,1990.96
2026-05-28 10:25:00+00:00,1990.95,1992.86,1990.25,1992.85
2026-05-28 10:30:00+00:00,1992.86,1993.13,1992.16,1993.0
2026-05-28 10:35:00+00:00,1993.0,1995.24,1992.86,1994.49
2026-05-28 10:40:00+00:00,1994.49,1995.04,1994.1,1994.1
2026-05-28 10:45:00+00:00,1994.11,1995.22,1993.62,1993.63
2026-05-28 10:50:00+00:00,1993.63,1993.63,1988.71,1991.78
2026-05-28 10:55:00+00:00,1991.78,1992.06,1990.16,1990.32
2026-05-28 11:00:00+00:00,1990.32,1992.72,1989.52,1989.52
2026-05-28 11:05:00+00:00,1989.52,1990.95,1988.11,1989.14
2026-05-28 11:10:00+00:00,1989.15,1991.04,1988.79,1990.95
2026-05-28 11:15:00+00:00,1990.96,1991.95,1989.84,1990.9
2026-05-28 11:20:00+00:00,1990.9,1990.9,1988.25,1989.77
2026-05-28 11:25:00+00:00,1989.77,1990.17,1987.14,1987.89
2026-05-28 11:30:00+00:00,1987.88,1989.68,1986.53,1989.68
2026-05-28 11:35:00+00:00,1989.68,1990.59,1989.12,1989.62
2026-05-28 11:40:00+00:00,1989.63,1990.89,1989.5,1990.88
2026-05-28 11:45:00+00:00,1990.89,1991.05,1989.17,1989.44
2026-05-28 11:50:00+00:00,1989.44,1990.57,1987.72,1990.43
2026-05-28 11:55:00+00:00,1990.43,1990.47,1989.82,1989.89
